dataset,attack,defense,rounds,final_acc,final_bsr,peak_bsr,final_auroc,final_tpr,mean_agg_s,total_agg_s
fmnist,sign_flip,ecf_base,60,0.7667,nan,nan,0.7340,0.0000,0.1547,9.2800
fmnist,sign_flip,ecf_bdoor,60,0.7660,nan,nan,0.3590,0.0000,2.6285,157.7100
fmnist,sign_flip,ecf_cand,60,0.7676,nan,nan,0.8120,0.5000,0.1517,9.1000
fmnist,sign_flip,fltrust,60,0.7877,nan,nan,0.7500,0.0000,0.0403,2.4200
fmnist,sign_flip,median,60,0.8578,nan,nan,nan,nan,0.1987,11.9200
fmnist,sign_flip,multi_krum,60,0.8767,nan,nan,0.9380,0.2500,0.8070,48.4200
fmnist,sign_flip,trimmed_mean,60,0.8588,nan,nan,nan,nan,0.2028,12.1700
fmnist,spurious_feature,ecf_base,60,0.8194,nan,nan,0.5000,0.0000,0.1557,9.3400
fmnist,spurious_feature,ecf_bdoor,60,0.8229,nan,nan,0.4840,0.0000,2.6152,156.9100
fmnist,spurious_feature,ecf_cand,60,0.8197,nan,nan,0.6250,0.2500,0.1543,9.2600
fmnist,spurious_feature,fltrust,60,0.8009,nan,nan,0.6020,0.0000,0.0402,2.4100
fmnist,spurious_feature,median,60,0.8813,nan,nan,nan,nan,0.1970,11.8200
fmnist,spurious_feature,multi_krum,60,0.8835,nan,nan,0.7660,0.2500,0.8087,48.5200
fmnist,spurious_feature,trimmed_mean,60,0.8840,nan,nan,nan,nan,0.2007,12.0400
